1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,22,23,24,25,26,27,28,29,30,32,33,34,35,37,38,39,40,41,42,43,44,45,47,48,49,50,52,53,54,55,56,57,58,59,60,62,63,64,65,67,68,69,70,71,72,73,74,75,77,78,79,80,82,83
25 - 34,Female,Bachelor's Degree,portugal,I'm familiar but don't have hands-on experience.,Weekly,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,4,5,5,4,4,5,3,4,4,4,4,3,4,3,3,4,5,5,5,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,5,5,5,2,2,2,2,5,5,5,5,1,1,1,1,1,2,3,3,1,4,5,2,2,
18 - 24,Male,High School or lower,South Africa ,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",4,4,4,3,3,4,4,4,4,4,4,4,3,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,2,2,3,1,2,2,2,1,1,1,1,4,4,4,4,4,1,1,1,1,5,5,5,5,1,1,1,1,1,2,2,2,2,4,1,5,5,
18 - 24,Female,High School or lower,Portugal,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,2,2,4,2,4,4,4,2,4,2,4,2,4,2,2,2,2,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,2,3,1,1,2,2,4,4,4,3,1,4,4,2,4,5,5,5,4,4,4,3,3,
25 - 34,Male,Bachelor's Degree,Mexico,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",4,4,5,5,5,4,4,4,4,5,5,4,5,2,5,3,2,4,1,1,1,2,5,5,5,5,1,1,1,1,1,1,2,2,1,1,1,1,1,4,5,4,4,2,1,2,2,2,5,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5,
25 - 34,Female,High School or lower,spain,I'm familiar but don't have hands-on experience.,Multiple times a day,No experience or particular interest.,2,2,2,3,4,2,3,2,3,4,4,3,5,1,1,1,1,2,1,1,1,1,3,4,2,4,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,4,2,2,2,2,2,4,4,2,4,2,2,4,2,4,3,4,3,3,5,5,2,4,
25 - 34,Male,Master's Degree,France ,I've heard of it but don't know much.,Daily,"No, but I appreciate the arts and often view such content.",5,5,4,5,5,4,4,4,5,5,4,4,4,1,1,1,1,3,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,3,4,1,1,4,4,2,2,
18 - 24,Female,High School or lower,Czechia,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",4,5,4,4,3,2,2,2,2,5,4,5,4,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,4,3,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,
18 - 24,Male,Bachelor's Degree,Belgium,I'm an expert (work with AI or CGI professionally).,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,4,4,5,4,4,4,4,5,5,1,1,2,4,4,2,4,3,2,5,5,3,4,1,1,1,3,2,1,1,1,1,1,2,1,1,2,2,4,4,4,3,4,4,2,5,5,5,5,3,3,5,5,5,4,4,4,3,5,5,5,5,Nothing in particular
35 - 44,Male,Master's Degree,portugal,I'm familiar but don't have hands-on experience.,Weekly,"No, but I appreciate the arts and often view such content.",5,4,4,5,4,5,5,4,4,5,5,4,5,3,4,2,2,4,2,3,2,3,3,4,2,4,2,2,2,2,2,3,2,2,3,2,3,1,2,3,4,3,3,4,3,4,3,2,4,4,4,4,5,5,5,4,4,5,5,5,4,5,5,5,4,
18 - 24,Male,Bachelor's Degree,Belgium,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,5,5,4,2,4,4,1,3,1,4,2,1,1,1,1,5,5,4,5,1,3,1,1,2,1,1,1,1,1,1,1,1,3,4,2,1,1,1,1,2,1,4,5,2,4,1,4,2,2,4,5,5,5,5,4,5,5,4,no
25 - 34,Female,Bachelor's Degree,south africa,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,4,4,5,2,5,5,5,5,4,4,5,4,4,2,5,5,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,no comments. I am satisfied with the images evaluated
18 - 24,Male,High School or lower,Poland,I'm familiar but don't have hands-on experience.,Multiple times a day,I have taken courses or received training.,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,3,2,5,5,5,5,4,1,3,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4,2,3,2,1,2,2,5,5,4,3,5,5,5,2,4,5,5,5,4,5,5,5,5,
25 - 34,Female,High School or lower,South Africa ,I'm familiar but don't have hands-on experience.,Daily,No experience or particular interest.,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,2,2,2,1,1,1,1,4,5,4,2,3,3,3,3,3,1,1,1,1,1,1,1,1,5,5,4,3,4,1,1,1,1,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,3,No
45 - 54,Male,High School or lower,uk,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",4,5,4,4,2,2,4,3,4,4,3,3,3,2,2,3,4,3,1,3,2,2,4,4,3,2,1,3,2,3,4,1,1,1,2,4,3,2,2,5,5,5,5,5,2,2,2,3,5,5,5,5,4,2,5,2,3,5,5,5,5,5,5,5,4,
18 - 24,Female,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Weekly,"No, but I appreciate the arts and often view such content.",5,5,5,4,5,3,4,2,3,4,5,5,5,1,4,1,1,1,1,1,1,1,4,2,1,1,3,2,4,2,4,1,4,2,1,5,4,3,2,5,5,5,5,5,1,1,2,1,5,5,5,5,1,5,4,1,4,5,5,5,5,5,5,4,5,None at all.
25 - 34,Female,Master's Degree,Zimbabwe,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,2,3,5,5,5,5,5,5,5,2,4,1,1,1,1,2,2,2,1,5,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,2,4,2,2,1,2,4,4,3,2,"The were no models of colour, it did not feel like the AI gave a true representation of all the people that could go skiing"
25 - 34,Male,Bachelor's Degree,Portugal,I'm not familiar at all.,Weekly,"Yes, as a hobby or pastime.",4,4,4,4,4,2,3,3,3,2,3,3,2,1,1,1,1,1,1,4,3,3,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,3,3,1,3,3,2,2,2,
25 - 34,Male,Bachelor's Degree,Mexico,I have some experience (have taken courses or dabble in it).,Daily,"No, but I appreciate the arts and often view such content.",4,4,4,4,3,2,3,2,2,2,3,2,2,2,3,2,2,4,1,1,1,1,2,4,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,5,5,5,5,5,1,1,1,1,5,5,5,5,1,5,4,3,5,2,1,2,1,5,5,5,5,muy interesante estudio
18 - 24,Male,Bachelor's Degree,Poland,I'm an expert (work with AI or CGI professionally).,Daily,"Yes, as a hobby or pastime.",1,2,1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,4,4,4,4,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,1,2,4,4,5,4,4,5,4,4,5,4,5,5,4,4,4,5,5,-
18 - 24,Male,Associate's Degree or equivalent,Portugal,I've heard of it but don't know much.,Daily,"Yes, as a hobby or pastime.",5,5,5,5,5,4,4,4,5,4,4,4,5,2,2,1,1,1,2,2,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,2,2,3,3,2,2,2,4,4,3,3,4,4,3,4,The last image was perfect
35 - 44,Male,Master's Degree,Italy,I've heard of it but don't know much.,Multiple times a day,No experience or particular interest.,4,5,5,4,4,2,3,2,2,4,3,4,5,3,2,2,3,2,2,2,3,2,4,4,4,3,2,1,1,2,1,1,2,1,2,3,1,2,1,2,1,1,2,2,2,1,2,1,4,4,3,4,4,2,3,4,4,3,2,2,2,4,4,4,3,
18 - 24,Male,High School or lower,Portugal,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",5,5,4,4,5,5,5,5,5,5,5,4,4,1,1,1,4,4,5,5,5,1,2,5,1,5,1,1,2,2,3,1,1,1,1,1,2,1,1,4,4,4,2,3,5,5,5,4,4,4,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,
35 - 44,Female,Master's Degree,Belgium,I'm an expert (work with AI or CGI professionally).,Multiple times a day,"Yes, as a hobby or pastime.",4,2,3,3,3,2,4,5,4,4,4,3,4,1,4,2,1,1,1,1,2,2,1,1,1,1,1,4,1,1,1,1,1,4,2,1,1,1,1,4,4,4,4,4,2,2,4,2,4,4,4,2,1,4,1,1,1,4,4,2,1,4,1,1,5,
18 - 24,Male,Associate's Degree or equivalent,Germany,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",4,4,2,5,5,5,5,3,4,4,4,2,1,4,2,4,2,4,2,3,1,1,4,3,2,4,1,1,2,2,2,1,1,1,1,3,1,1,1,4,4,3,4,5,4,4,2,3,3,5,3,4,5,4,5,5,5,4,5,4,5,5,4,5,5,
18 - 24,Male,Associate's Degree or equivalent,Poland,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",5,5,5,5,3,5,5,5,5,5,5,5,5,4,4,2,2,4,1,1,2,1,3,4,2,2,2,2,1,4,2,1,1,1,1,2,2,1,1,4,4,2,5,4,1,1,1,1,4,5,2,5,4,4,1,5,4,4,4,3,3,2,4,3,5,
18 - 24,Female,High School or lower,South Africa,I'm not familiar at all.,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,4,4,5,5,5,5,4,4,4,4,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,2,1,1,1,1,1,4,2,1,1,2,1,1,3,1,1,1,1,5,5,5,5,
25 - 34,Female,Master's Degree,Greece,I'm familiar but don't have hands-on experience.,Daily,"Yes, as a hobby or pastime.",5,5,4,4,2,5,5,5,5,3,4,4,3,2,2,1,5,4,2,4,4,3,2,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,5,5,5,5,5,4,4,4,3,5,5,5,5,2,3,4,4,4,5,5,5,5,5,5,5,5,
25 - 34,Female,Bachelor's Degree,Italy,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",4,5,5,4,4,2,3,2,2,3,3,2,2,1,2,2,2,3,1,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,4,5,4,4,4,3,3,2,1,4,4,4,4,1,4,1,1,2,4,5,4,2,4,4,2,2,
35 - 44,Male,Associate's Degree or equivalent,South Africa ,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,4,4,5,5,5,5,5,4,4,4,2,5,1,2,1,1,2,4,2,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,2,4,4,4,4,4,5,5,4,4,1,2,1,1,4,4,4,4,4,5,4,5,5,"While I suspect that some of those images might have been AI generated, it was hard to tell them apart but not impossible. Fascinating study. "
18 - 24,Female,Associate's Degree or equivalent,Poland,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",4,5,4,2,3,2,4,4,2,2,4,1,2,4,5,1,1,4,4,4,4,4,1,4,1,1,2,4,3,1,2,5,4,5,4,1,4,1,1,5,5,5,2,4,2,2,4,3,4,5,2,2,2,3,1,1,2,5,4,4,5,3,4,2,4,i think each was generated by ai
25 - 34,Male,Associate's Degree or equivalent,Hungary,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,1,2,2,2,4,4,1,1,1,3,1,4,4,1,1,1,1,2,2,1,1,4,4,4,4,5,2,2,1,2,4,4,2,4,5,5,5,5,5,4,4,2,3,5,5,5,5,
25 - 34,Female,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Weekly,"Yes, as a hobby or pastime.",5,5,5,5,5,4,4,3,3,5,5,5,5,4,4,3,4,4,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,4,
18 - 24,Non-binary / third gender,High School or lower,Portugal,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, I'm a professional.",4,5,5,5,5,4,4,5,4,3,5,5,4,1,1,2,3,5,2,4,1,2,3,5,4,4,1,1,1,2,1,1,2,1,1,1,3,1,1,2,4,2,2,4,2,4,1,2,3,4,3,1,2,3,1,1,1,3,4,4,1,2,3,2,1,"Still unsure if the first image was AI generated or not, but everything else was very obvious due to artifacts. The last one was a good attempt however it was too ""cartoony"", it looked  more  like a drawing than a photography."
25 - 34,Female,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Multiple times a day,I have taken courses or received training.,4,4,4,4,4,3,4,2,4,5,5,5,4,2,3,1,1,2,2,3,2,2,2,2,1,3,2,2,1,3,4,1,1,1,1,1,2,1,1,4,4,4,5,2,4,4,4,3,5,5,5,4,1,3,1,1,1,3,3,2,3,4,3,2,1,None
25 - 34,Male,Bachelor's Degree,Slovenia,I have some experience (have taken courses or dabble in it).,Daily,I have taken courses or received training.,5,5,5,5,4,4,5,3,4,4,4,4,3,4,5,3,4,4,1,2,1,2,3,4,4,4,3,2,2,3,1,1,2,1,2,2,2,2,2,3,3,2,4,3,1,2,2,2,4,4,4,4,4,3,3,2,3,2,3,2,3,4,4,4,4,
18 - 24,Male,Associate's Degree or equivalent,South Africa,I have some experience (have taken courses or dabble in it).,Daily,No experience or particular interest.,5,5,5,5,5,1,1,3,1,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,5,1,5,5,5,5,5,1,1,1,1,1,1,1,1,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,nothing
25 - 34,Female,Bachelor's Degree,United states of america,I have some experience (have taken courses or dabble in it).,Monthly,"Yes, I'm a professional.",4,5,4,4,5,4,5,4,5,4,3,4,4,4,5,4,4,3,4,3,4,4,4,3,3,5,4,5,4,4,5,4,3,4,4,4,3,4,4,4,3,4,5,4,4,5,4,4,4,5,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,good
35 - 44,Female,Bachelor's Degree,USA,I have some experience (have taken courses or dabble in it).,Weekly,"Yes, as a hobby or pastime.",4,5,4,5,3,5,4,4,3,2,3,3,2,4,3,5,4,3,2,1,2,2,4,3,4,3,2,1,1,2,1,1,2,1,1,1,2,1,1,3,4,5,3,4,4,3,4,4,4,5,4,4,4,5,4,5,4,4,5,4,5,4,5,4,4,Good
25 - 34,Male,Bachelor's Degree,India,I'm an expert (work with AI or CGI professionally).,Weekly,"Yes, as a hobby or pastime.",5,4,5,4,5,5,4,5,4,4,5,4,4,5,4,4,4,4,5,4,5,5,5,4,5,5,5,4,4,5,4,5,4,5,5,5,4,5,5,5,4,5,4,4,5,4,4,4,5,4,5,5,5,4,5,4,5,5,4,5,5,5,4,5,5,nothing
35 - 44,Female,Bachelor's Degree,USA,I'm an expert (work with AI or CGI professionally).,Weekly,"Yes, I'm a professional.",4,3,4,4,3,4,3,4,5,4,4,5,3,4,5,4,3,4,4,3,4,5,4,5,3,5,4,4,3,4,3,4,3,4,4,4,3,4,5,4,4,4,5,4,4,5,4,4,4,5,3,4,4,5,4,3,4,4,3,4,5,4,4,3,4,NONE
35 - 44,Male,Bachelor's Degree,UNITED STATE,I'm an expert (work with AI or CGI professionally).,Daily,"Yes, as a hobby or pastime.",2,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,GOOD
45 - 54,Female,Bachelor's Degree,VAN ST,I have some experience (have taken courses or dabble in it).,Daily,"Yes, I'm a professional.",5,4,4,5,3,5,5,4,5,5,3,4,4,5,5,4,4,3,5,4,3,5,4,5,4,4,5,4,3,4,3,4,2,3,4,5,4,3,4,5,4,4,4,5,5,4,5,4,5,2,2,4,5,5,5,4,4,5,2,2,3,4,5,4,3,
25 - 34,Male,Bachelor's Degree,USA,I'm an expert (work with AI or CGI professionally).,Weekly,"Yes, I'm a professional.",2,3,1,2,1,3,2,1,4,4,5,5,3,4,3,4,5,4,4,3,5,4,5,3,3,4,4,3,1,4,4,4,4,5,4,5,4,4,4,4,5,4,5,4,3,3,4,4,4,3,3,3,4,4,2,3,5,3,4,5,3,4,4,3,4,good
25 - 34,Male,Bachelor's Degree,USA,I'm an expert (work with AI or CGI professionally).,Multiple times a day,"Yes, I'm a professional.",4,5,5,3,4,5,4,3,5,5,5,4,4,5,4,3,4,5,5,4,3,5,5,4,5,5,5,3,4,5,5,5,3,4,4,5,5,5,4,5,5,3,4,4,5,3,4,5,5,3,4,4,4,5,4,3,5,5,3,4,4,5,5,5,5,Nice
35 - 44,Male,Bachelor's Degree,USA,I've heard of it but don't know much.,Weekly,"Yes, as a hobby or pastime.",2,3,2,3,4,4,5,4,4,5,4,5,4,5,4,4,4,3,3,4,5,3,4,5,4,4,2,3,2,3,3,3,2,1,2,3,2,2,1,2,4,4,2,4,2,2,2,2,3,2,2,2,4,3,3,4,4,4,3,3,5,5,4,4,3,GOOD
25 - 34,Female,Bachelor's Degree,USA,I'm an expert (work with AI or CGI professionally).,Multiple times a day,"Yes, I'm a professional.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,5,4,4,4,4,5,5,NO
35 - 44,Male,Bachelor's Degree,USA,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",1,3,4,4,3,5,3,5,5,5,5,5,5,2,4,4,3,3,2,2,4,4,2,3,2,4,2,4,4,3,3,3,4,3,3,2,3,4,3,3,2,2,4,3,2,3,3,2,2,4,3,3,3,4,2,3,3,2,4,3,3,2,4,4,3,Some images are very clear but some images are need improvement.
45 - 54,Female,Associate's Degree or equivalent,us,I'm familiar but don't have hands-on experience.,Weekly,"No, but I appreciate the arts and often view such content.",1,3,2,3,3,2,3,2,3,3,2,2,3,3,2,3,3,3,4,2,4,3,2,2,3,3,2,2,3,4,4,3,2,3,3,2,3,3,2,3,4,3,3,2,4,2,4,2,1,1,3,2,2,3,2,3,3,4,5,5,5,5,4,5,4,
25 - 34,Female,Bachelor's Degree,USA,I'm familiar but don't have hands-on experience.,Daily,"Yes, as a hobby or pastime.",3,2,3,3,2,3,2,3,1,3,2,3,3,3,2,4,2,1,3,2,4,2,3,2,4,2,3,2,3,4,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,4,2,2,3,3,3,3,2,4,3,2,3,2,3,4,3,2,4,2,NONE
25 - 34,Male,Bachelor's Degree,USA,I'm an expert (work with AI or CGI professionally).,Daily,"Yes, I'm a professional.",4,4,5,4,3,4,5,5,5,4,5,5,4,4,5,4,5,4,3,5,4,4,3,4,4,4,4,5,3,5,4,4,5,3,4,4,5,4,3,4,4,5,5,4,3,5,4,4,4,4,5,4,4,5,4,3,4,4,5,5,5,4,5,4,4,NICE
55 - 64,Female,Bachelor's Degree,USA,I'm an expert (work with AI or CGI professionally).,Daily,"Yes, as a hobby or pastime.",3,4,2,3,4,3,4,2,4,4,3,5,3,3,4,2,3,4,3,4,2,2,4,2,3,3,3,4,2,3,2,4,2,3,2,3,4,3,3,5,2,3,4,2,4,2,3,4,3,4,2,2,3,2,4,3,4,4,2,3,4,4,2,3,2,All images were very good.
55 - 64,Female,Bachelor's Degree,USA,I'm an expert (work with AI or CGI professionally).,Daily,"Yes, as a hobby or pastime.",4,5,4,3,4,5,4,3,5,4,5,4,3,4,5,4,3,4,4,5,3,3,3,4,3,4,4,5,4,3,4,5,4,3,5,5,4,4,4,5,4,5,4,3,5,4,4,5,5,4,4,4,5,4,4,5,5,5,4,3,3,5,4,5,3,"the rate evaluted picture was t very amazing and explanation was very details ,the picture understanding survvery was very easy below questions was understanding ."
25 - 34,Male,Bachelor's Degree,USA,I'm an expert (work with AI or CGI professionally).,Monthly,"Yes, I'm a professional.",3,2,3,2,2,3,2,3,2,4,2,3,2,2,1,2,1,2,4,3,4,4,5,4,5,5,5,4,5,4,5,5,4,5,4,4,4,3,3,4,3,4,3,4,5,4,5,5,5,4,5,4,4,3,4,4,3,5,4,4,4,5,4,5,4,GOOD
18 - 24,Female,High School or lower,Pakistan,I've heard of it but don't know much.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,4,4,5,3,4,5,5,4,5,5,1,1,1,1,1,1,1,3,5,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,4,3,4,2,2,1,1,4,4,2,2,4,4,1,1,4,4,4,5,2,4,4,2,4,
25 - 34,Male,Bachelor's Degree,USA,I have some experience (have taken courses or dabble in it).,Daily,"Yes, as a hobby or pastime.",4,5,4,5,3,4,5,3,5,5,4,5,5,2,2,3,3,2,1,2,3,3,4,1,3,3,2,3,4,3,2,2,3,4,2,2,2,3,3,4,5,4,3,4,3,4,4,3,2,3,4,2,5,5,4,4,4,3,3,4,5,5,5,4,5,Good.
18 - 24,Male,High School or lower,Pakistan karachi ,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, I'm a professional.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,It was very good
Under 18,Male,High School or lower,Pakistan,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,4,5,5,5,5,5,3,4,3,3,3,2,1,2,1,5,5,4,4,3,3,4,3,4,2,1,2,1,3,4,4,4,5,4,5,5,4,2,1,1,1,5,5,5,5,1,1,2,2,4,5,4,5,4,5,4,5,4,
18 - 24,Male,Bachelor's Degree,Pakistan ,I'm familiar but don't have hands-on experience.,Daily,No experience or particular interest.,4,4,4,4,4,4,5,4,4,5,5,5,5,2,2,1,1,2,2,4,3,4,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,5,4,4,4,4,4,3,3,1,4,1,1,4,5,4,4,4,5,5,4,4,
18 - 24,Male,Bachelor's Degree,canada,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,2,3,4,4,5,2,4,1,2,3,5,5,5,5,5,3,2,5,4,3,3,4,3,3,2,4,1,3,3,4,5,2,5,3,3,2,5,3,3,3,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,
18 - 24,Male,Associate's Degree or equivalent,Pakistan,I've heard of it but don't know much.,Multiple times a day,No experience or particular interest.,5,5,5,5,5,4,4,4,3,4,5,5,4,4,4,4,4,4,4,5,5,5,4,5,3,5,4,2,2,4,4,5,3,5,4,4,5,3,5,5,5,5,5,5,2,1,1,1,4,4,4,5,4,5,4,4,3,5,5,4,3,5,5,4,4,NO
18 - 24,Male,Bachelor's Degree,Pakistan,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",1,2,4,5,5,2,4,4,4,4,5,5,5,5,5,5,5,5,2,2,4,2,5,5,5,5,5,2,5,5,5,5,5,4,5,3,2,2,3,2,1,5,5,5,5,2,4,4,4,4,5,4,4,3,3,2,2,3,3,3,3,3,3,4,3,
